Datetime,Content,Username,DisplayName,Location,Lang,Content_en,polarity,subjectivity
2023-05-04 05:24:58+00:00,ferxec lopezobrador parece foto de imss en su falsedad de mostrar humildad solo denotan mal gusto deben largarse ya,marcomsg,marco morales,mexico,es,Xerxes LopezObrador looks like a photo of IMSS in his falsity to show humility only denote bad taste must already get,-0.3499999999999999,0.8333333333333333
2023-04-05 22:41:08+00:00,"aracelibs si eso me gustaria 
y tambien al de la secretaria de salud",alflab,alfonso ini,unknow,es,Aracelibs if that would like and also that of the Secretary of Health,0.0,0.0
2023-03-17 15:41:58+00:00,"miyertorresa tubarconews wilsonbarco es la alcaldesa que necesitamos demostro buenos resultados en la secretaria de salud y eses que lidero
ademas si conoce las necesidades de cali total apoyo",josejaviersando,jose javier sandoval,unknow,es,MIYERTORRESA TUBARCONEWS WILSONBARCO IS THE MAYOR THAT WE NEEDED MORE RESULTS IN THE SECRETARY OF HEALTH AND ESES THAT ALSO LIDERO IF YOU KNOW THE NEEDS OF CALI TOTAL SUPPORT,0.25,0.625
2023-04-27 20:16:08+00:00,leoschwebel para que lo atienda un chaman o medico brujo del imss,armas1965,armando hernandez c,san pedro tlaqupaque jal,es,Leoschwebel to attend to a shaman or medical witch of the IMSS,0.0,0.0
2023-05-27 15:37:55+00:00,tennisalwaysgo tuimss que se recupere pronto,nenalauda,nena,horizontes lejanos,es,tennisalwaysgo tuness that recovers soon,0.0,0.0
2023-06-06 18:57:17+00:00,zoerobledo lopezobrador imssbienestar tuimss acudo a usted nuevamente x que gracias a usted pude conseguir cita en ultrasonido por unos nodulos en el cuello he ido a ultrasonido nuevamente x que me ha mandado la endocrinologa pero estamos a junio y ya no hay agenda para este servicio,laurachikisgtz,laura gutierrez,tuxtla gtz,es,Zoerobledo Lopezobrador IMSSBienestar Timss I go to you again x that thanks to you I could get an appointment in ultrasound by some nodules in the neck I have gone to ultrasound again x that the endocrinology has sent me but we are in June and there is no longer agenda for this service,0.2,0.2
2023-05-23 21:49:00+00:00,"debido a la caida de ceniza por la actividad del volcan popocatepetl en las ultimas 72 horas unidades de la secretariadesalud han registrado 210 consultas por padecimientos como rinitis laringitis conjuntivitis y dermatitis
mas info
httpstcohfu5xgnrwn httpstcogl7zelwydg",periodicoxelhua,periodico xelhua,san pedro cholula,es,Due to ash drop due to the activity of the Popocatepetl volcan,-0.125,0.375
2023-03-23 14:49:23+00:00,cerrada la calle frente a la secretaria de salud,traficoentegus,trafico en tegus,"tegucigalpa, honduras",es,Closed the street in front of the Secretary of Health,-0.1,0.1
2023-06-20 17:48:40+00:00,issstesalud tengo mas de 3 meses solicitando una cita de especialidad medica ya tengo pase pero no hay espacios disponibles me pregunto que habria hecho el sr lazarescu dante remus en mi situacion,eljuvenologo,pablo,unknow,es,Issstesalud I have more than months requesting a medical specialty appoint,0.25,0.25
2023-03-24 19:05:02+00:00,"aguapotable vigilanciaycontrol 

le contamos como la secretaria de salud todas las semanas realiza actividades de vigilancia y control para monitorear la calidad del agua que consumen los habitantes de piedecuesta 

asi construimos piedecuesta
unaciudadparalagente httpstcorghpuulzji",alcpiedecuesta,alcaldia de piedecuesta,santander,es,AGUAPABLE SURVEILLANCE ANDCONTROL We tell you how the Secretary of Health every week performs surveillance and control activities to monitor the water quality consumed by the inhabitants of Piedecuesta thus we build a piedecuesta a ciudad lagente httpstcorghpuulzji,0.0,0.0
2023-06-27 14:51:23+00:00,jesusrcuevas lopezobrador continuidad con cambio es una de las mas malas decisiones este gobierno de simulacion no cambio nada empresas sin pagar impuestos y no dan utilidades sindicatos  los mismos el imss servicio inserbible osea nada a cambiado en lo esencial,josanto81250221,jose antonio cornejo,unknow,es,JESUSRCUEVAS LOPEZOBRADOR CONTINUITY WITH CHANGE IS ONE OF THE MORE DECISIONS This simulation government does not change anything companies without paying taxes and do not give unions the same the IMSS service unusable bone anything has changed in the essential,0.16666666666666666,0.30833333333333335
2023-05-15 04:25:46+00:00,ulisessilverio tuimss imagina el lio que se hubiera hecho,everardochiapa,everardo chiapa ,mexico,es,Ulisesilverio Tuimsss imagines the mess that would have been made,-0.175,0.175
2023-04-27 05:03:53+00:00,y pobres cucarachas al usarlas de ejemplo uds bola de parasitos bajen impuestos mejoren el imss infonavit bajen esos costos que danan al trabajador uds bajense el sueldo bajen la gasolina todo esto bajarias la inflacion a la de ya vas,fmendiola630,general electric no al comunismo ni al aborto,unknow,es,"and poor cockroaches when using them as a parasitos ball, lower taxes improve the IMSS Infonavit lower those costs that win the worker UDS DOWN",0.08148148148148147,0.42962962962962964
2023-04-22 22:02:36+00:00,"mientras que la secretaria de salud adelanto procesos de fumigacion

girardotesdetodos  httpstcoerlji3aub6",alc_girardot,alcaldia de girardot,"girardot, colombia",es,While the Secretary of Health advances fumigation processes Girardotesdetodos,0.0,0.0
2023-06-02 01:56:02+00:00,"jjdiazmachuca lopezobrador mauriciocollado acaso no prometio su alteza pejendejisima elcacas que en su gobierno los funcionarios publicos van a atenderse en el issstemx issste como todos los trabajadores del estado
que paso contigo impresentable harapiento fodongo taibo2 donde esta la congruencia httpstcoa9rqwx8wfa",miguelpantojamd,miguel pantoja,"cuernavaca, morelos. mexico",es,JJDIAZMACUCA LOPEZOBRADOR MAURICIOCOLLADO Since he did not promise his peckle -up plaque,0.0,0.0
2023-05-03 21:11:53+00:00,"asi mienten tuimss no tengo una sola llamada de ustedes
y mi esposa que se espere el tiempo que quieran ustedes pero vamos a proceder legalmente httpstcoxlrcfczeuk",rovalver444,rodrigo valverde,todo el territorio nacional,es,"Thus, I do not have a single call from you and my wife who expects the time you want but we will legally proceed HTTPSTCOXLRCFCZEUK",0.0642857142857143,0.20714285714285713
2023-05-17 21:24:54+00:00,elculposo26 arouetv tuimss hahahaha ya quisiera el cabron ese que hubiera estado asi,barojo79,jr,unknow,es,Arouetv Timims Hahaha I would like the bastard that would have been like this,0.2,0.4
2023-02-02 22:16:42+00:00,alma rosa marroquin titular de la secretaria de salud reporta que nl tiene primer lugar en sobrepeso y obesidad en ninos registrategratis httpstconvjxqfassa,elnortelocal,elnortelocal,"monterrey, nuevo leon",es,ALMA ROSA PARROQUIA HOLDER OF THE SECRETARY OF HEALTH reports that NL has first place in overweight and obesity in children registergratis httpstconvjxqfassa,0.25,0.3333333333333333
2023-06-19 23:14:03+00:00,tuimss tengo un familiar en la clinica 32 cdmx desde el 14 de junio y es fecha en que no le dan servicio necesita operacion y nadie dice nada,palomamilenka,milo alejandre ,mexico,es,Tuimsss I have a relative in the clinic as since June and it is the date that they do not give it service and nobody says anything,0.0,0.0
2023-05-01 17:00:57+00:00,"la prima altagracia puso una guarderia concesionada por el 
tuimss de borolas horcasitas y bours el de bachoco 

en una bodega de haciendamexico 
con materiales inflamablessin salida de emergencia
pero era la prima altagracia de
mzavalagc 
la primera dama de
borolas",mrcanciller,canciller ,cdmx,es,The cousin Altagracia put a concessionary nursery for the tims of horsites and tours that of Choco in a warehouse of Haciendamexico with flammable materials,0.0,0.0
2023-06-20 16:34:12+00:00,thaniagram en el imss,ivanriggins,omniphobia,cdmx ,es,THANIAGRAM IN THE IMSS,0.0,0.0
2023-05-23 05:01:57+00:00,en ciudad madero tamaulipas denunciaron la aparicion de una bacteria en el area de nonatos del hospital numero 6 del imss que habria provocado la muerte de un bebe enpunto con enriqueacevedo  decideinformado  siguelo por httpstcojpgbic5ylx httpstcohzcsdnby1z,nmas,nmas,mexico city,es,In Ciudad Madero Tamaulipas they denounced the appearance of a bacterium in the Nonate Area of ​​the IMSS number hospital that would have caused the death of a baby point with EnriqueVedo decideinformed continued by,0.0,0.0
2023-05-12 18:52:47+00:00,tuimss ya no me llegaron mis cajas de baxter en mi domicilio y soy dialisado ,wesper20,wesper,unknow,es,Tuimsss no longer came my Baxter boxes at my home and I am divisted,0.0,0.0
2023-02-11 14:07:57+00:00,mjsarmientoa petrogustavo concejal y por que tanto silencio frente a la enorme corrupcion en la secretaria de salud que paso con su verdura sobre este sector,lizarazorodr,carlos a lizarazo,unknow,es,Mjsarmientoa Petrogustavo councilor and why so much silence in the face of enormous corruption in the Secretary of Health that passed with his vegetables about this sector,0.1,0.55
2023-06-10 19:49:42+00:00,"hasta cuando actuaran las autoridades
cdhpuebla fiscaliapuebla tuimss zoerobledo sergiosalomonc juliomiguelhg olimpiacmujer 
lopezobrador  adanaugusto",cclemente7,carlos clemente,unknow,es,Until when the cdhpuebla prosecutor's authorities will act.,0.0,0.0
2023-05-03 02:37:40+00:00,claudiashein cuentenos como fue ese parto en las instalaciones de imss  bienestars ,rafaelv_abs,rafael,"sinaloa, mexico",es,Claudiashein tell us how was that delivery at IMSS well -being facilities,0.0,0.0
2023-04-27 01:56:54+00:00,lopezobrador en q clinica del imss atendio,8960elias,elias manriquez,unknow,es,LOPEZOBRADOR IN Q CLINIC OF THE IMSS ATTENDED,0.0,0.0
2023-05-03 11:50:01+00:00,"senaldelamanana  la secretaria de salud de pereira avalo el plan de contingencia propuesto por el aeropuerto internacional matecana ante una eventual erupcion volcanica 

httpstcolppvt06wli httpstcoentvgeuoul",radnalco,radio nacional co,"bogota, colombia",es,Senaldelamanana The Secretary of Health of dog,0.0,0.0
2023-02-20 04:24:45+00:00,"esto es en 26 municipios de guerrero  de los cuales 24 casos se confirmaron en las ultimas 24 horas por lo que la secretaria de salud de la entidad reitero el llamado a mantener las medidas para evitar el aumento de contagios
httpstcoahzkx3ravs",bravarevista,revista costa brava,unknow,es,"This is in the municipalities of Guerrero, of which cases were confirmed in the last hours, so the entity's secretary of the entity reiterates the call to maintain the measures to avoid the increase in infections",0.2,0.5333333333333333
2023-06-06 04:31:45+00:00,"la del imss trae cita

yo httpstcoo3jc3a8qnh",rturohadad,arturo hadad, mid,es,IMSS is appointment,0.0,0.0
2023-06-13 04:34:16+00:00,samuelgarcias de hecho el tuimss de la cdmx gobiernomx  es mejor que los mejores privados de nuevoleon,jfreakb7,jose garcia,unknow,es,Samuelgarcias in fact the tuness of the as a government is better than the best deprived of Nuevoleon,0.75,0.4
2023-05-10 01:47:14+00:00,radioformula lopezdoriga zoerobledo desde cuando cacaraquean del sistema de salud como dinamarca ya va a terminar el sexenio y el  imss esta peor lo unica que hacen es enganar mentir no creo que en lo que falta de este gobierno puedan hacer algo mentiras mentiras y mas mentiras,fjsantoyo1944,francisco santoyo,unknow,es,"RADORFORMULA LOPEZDORIGA ZEROBLEDO Since when they cacaraquean of the health system such as Denmark will already end the selenium and the IMSS is worst the only thing that they do is to create lying, I do not think that in what is lacking this government they can make some lies lies and more lies",-0.125,0.75
2023-06-20 03:31:03+00:00,"jjdiazmachuca lopezobrador cuitlahuacgj tuimss ay que horror
que malvado es el presidente mira que mandarles ese caloron",blancasala17,blanca salas,unknow,es,JJDIAZMACUCA LOPEZOBRADOR CUITLAHUACGJ TUIMSS AY WHAT HORROR THAT MALVED IS THE PRESIDENT LOOKS THAT SEND THAT HEAT,0.0,0.0
2023-05-24 22:53:01+00:00,elobecerraj crissygarzao tuimss jajajajajaja por que los directivos que deberian de estar supervisando estan teniendo sexo en su oficina,shcanche,six  can,cancun q roo ,es,EL OBECERRAJ CRISSYGARZAO TUIMSS HAJAJAJAJAJA because the managers who should be supervising are having sex in their office,0.0,0.0
2023-05-15 20:42:30+00:00,omarpatino tuimss jajajajaja marielpilar,emmanuelgarridm,"emmanuel, alonso, etc",unknow,es,OMARPATINO TUIMSS HAJAJAJA MARIELPILAR,0.0,0.0
2023-05-24 16:10:58+00:00,jesusrcuevas lopezobrador jajajajajjajajajajajaj cual pension puras limosnas a cambio de votos cual educacion con las super dirigentes como delfina y la maestra lety  par de inutiles cual salud aventando el insabi al imss que de por si la atencion es pesima mentiras,juancarlosmir24,juan carlos miranda,mexico,es,JESUSRCUEVAS LOPEZOBRADOR JAJAJAJAJAJAJAJAJAJA WHICH PENSION PURE LIMOS IN CHANGE OF VOTES WHICH EDUCATION WITH THE SUPER leaders as defined and the teacher's teacher of useless which health thus throwing the insane to the IMSS that in case the attention is weighing lies,-0.2380952380952381,0.5916666666666666
2023-05-26 03:32:19+00:00,en que parte de la materia de operatoria dental ensenan como conseguir una buena base del imss ,drdientista,el dientista deluxe ,unknow,es,In which part of the dental operative matter they teach how to get a good base of the IMSS,-0.050000000000000044,0.8
2023-05-26 05:08:03+00:00,al minuto informa imss sintomas de la tiroides a fin de acud httpstcokmpvgfonn9,alminutoportal,alminutomx,mexico city,es,A minute informs imss symptoms of the thyroid in order to go,0.0,0.0
2023-06-01 20:43:06+00:00,"este ano arrancara construccion de nuevo hospital del imss en guanajuato capital

httpstcodbspjgmk7m",periodicoam,periodico am noticias,"guanajuato, mexico",es,This anus will start the construction of the IMSS hospital in Guanajuato Capital,0.0,0.0
2023-01-25 23:29:40+00:00,el issstemx es una porqueria el dia de hoy mi mama tuvo una herida y no tenian una tijeras para hacer una curacion querian arrancarle la piel la doctora le mando aplicar la vacuna del tetanos y resulta que hace 3 anos que nos les llega que pedo con la secretaria de salud,franccalvi,francisco_cv,"leon, guanajuato",es,"The ISSSTEMX is a why today my mother had a wound and did not have a scissors to do a healing they wanted to tear off the skin, the doctor sent her to apply the tetanus vaccine and it turns out that he makes them that they get to us to fart with the secretary of health",0.0,0.0
2023-05-12 03:15:06+00:00,alfredoalvarezz ricardomonreala zoerobledo tuimss desconozco mucho de politicos en mexico porque sali del pais en 1988 y cuando escuche la primera vez a este senor me dije uno mas de los politicos corruptos en mexico misma impresion con el peje mentiroso y cobarde pronto liberare a mexico de los politicos y militares corruptos httpstcoeto7mddkac,joseoro43876541,jose orozco,eua,es,Alfredoalvarezz Ricardomonreala Zoerobledo Tuimss I do a lot of politicians in Mexico because I left the country in and when I listened the first time to this Lord I told myself one more of the corrupt politics in mexic corrupt military,-0.05833333333333333,0.4888888888888889
2023-05-09 05:51:49+00:00,manuelvegamx de por si el imss esta rebasado el servicio por mucho que los empleados especialista medicos familiares enfermeras  y personal administrativo y de limpieza traten de mejorar el servicioes imposible dar un servicio alguien y en algun momento seguro tendra deficiencia,chiatiin,chiatito,unknow,es,Manuelvegamx in case the IMSS is overwhelmed by the service no matter how much family medical specialist nurses and administrative and cleaning personnel try to improve the services impossible to provide a service and at some point will surely have deficiency,0.008333333333333345,0.5222222222222221
2023-05-14 14:45:39+00:00,"mabarrenada guacamayanleaks cortazarisauro1 lopezobrador scjn les quito la atencion medica y los medicamentos a las personas con enfermedades cronicas 
que quito el apoyo al campo
quito el apoyo al arte y a la cultura

ah pero eso si ya hay imss en donde hay operaciones de cambio de sexo y hormonas gratis",angel_lacho,angel flores (lacho) ,unknow,es,mabarrenada macamayanleaks lopezobrador scan I take away medical attention and medicines to people with chronic diseases that I remove support to the field Quito the support for art and culture Ah but that if there are already IMSS where there are sex change and hormones operations,0.0,0.0
2023-06-25 19:42:42+00:00,el imss no tiene director dos bocas no tiene directora y en gobernacion tenemos una stripper,josefinasatsang,josefina aguirre,mexico,es,The IMSS does not have director two mouths has no director and in the governorate we have a stripper,0.0,0.0
2023-04-27 04:29:58+00:00,markocortes lopezobrador por ejemplo con la extincion del insabi por parte de morena y creacion del imssbienestar cientos de trabajadors no tienen contrato por honorarios este tipo de contrato el gobierno lo impone pero criticando a empresas y no podran empezar a trabajar hasta arreglar esto,eniacjuank,eniac,unknow,es,"MARKOCORTES LOPEZOBRADOR, for example, with the extinction of the insane by Morena and creation of the IMSSbienestar hundreds of workers do not have a contract for fees this type of contract, the government imposes it but criticizing companies and they will not be able to start working until we fix this until fixing this",-0.25,0.8125
2023-05-29 12:56:25+00:00,"hola
yo voy trabajando en issste mucho y mi cubrebocas mucho dios mio y cuidate mucho cdmx ",berenic97237153,berenice pena cmll ,"mexico,d.f. ",es,"Hello, I'm working in ISSSTE a lot and my covers a lot of mine and take care of yourself like",0.0,0.0
2023-06-17 23:19:13+00:00,"imss platicas de salud gracias a todos por su participacion
httpstco9ovmggtlhg httpstcogx8iyrqpzv",epo86h,epo86-halcones,unknow,es,IMSS Health Talks Thank you all for your participation,0.0,0.0
2023-05-10 14:07:32+00:00,guacamayanleaks imssbienestar ricardomonreala zoerobledo tuimss y aparec otra rats,vic77093709,vicpic,mexico and usa ,es,macamayanleaks imsbienestar ricardomonreala zoerobledo timss and another rats appears,0.0,0.0
2023-05-25 22:53:29+00:00,issstemx un doctor tuvo el poco tacto de decir ubiquen que ya esta grande como dando a entender que igual se va a morir,adeline0808,ade20,"cuauhtemoc, distrito federal",es,isstemx a doctor had the little tact to say that they are already great as implying that it will die the same,0.2041666666666667,0.4583333333333333
2023-06-23 16:09:23+00:00,eluniversalmx los que forman parte de su movimiento es decir los lideres de morena claro que tienen el mejor sistema de salud o se forman haciendo fila para ser atendidos en el issste pueblo bueno y sabio te estan viendo la cara abre los ojos,tlapalaherjos,jose luis hernandez,unknow,es,"Eluniversalmx those who are part of their movement, that is, the leaders of MORENA clear who have the best health system or are formed by rowing to be treated in the isste good and wise people are seeing your face open your eyes",0.5,0.5366666666666667
2023-04-29 16:20:23+00:00,reforma va ser una totura si de por si no tienen ni medicamentos en el imss ,malemartinezv,male martinez,unknow,es,Reform will be torture if they do not have medications in the IMSS,0.0,0.0
2023-05-04 18:15:30+00:00,excelsior zoerobledo donde los tienen que se paren en la clinica 223 del imss en lerma de villada edo de mexico para que vean que precariedad,luzgodiva,luzgodiva@hotmail.co,lerma de villada toluca.,es,Excelsior Zoerobledo where they have them stop at the IMSS clinic in Violada Edo de Mexico to see that precariousness,0.0,0.0
2023-05-17 13:58:14+00:00,"claudiashein asi es el servicio medico con el que contamos los mexicanos
area de urgencias de hgz 8 del imsses el area de urgencia y pues realmente urge trabajar en esta situacion llegamos a la 1735 del 160523 y salimos 2355 y sin medicamentos httpstcohkv9xgr6oi",gaboraperz,darko,"la magdalena contreras, distri",es,Claudiashein This is the medical service with which we have the Mexican Emergency Area of ​​the IMSESE the Emergency Area and then it really urgently urges to work in this situation we arrive at that of and we leave and without medications,0.06666666666666667,0.06666666666666667
2023-06-16 23:06:46+00:00,"smaciasr lopezobrador hlgatell tuimss pnche matoncito 

que le tiene miedo a una mujer xochitl galvez 

que se esconde en palacio 

que sigue creyendo que es suyo 

que el mismo dijo que estaria abierto al pueblo 

lo que no dijo es que habria restricciones para fifis y conservadores",joache436,joaquin martinez,unknow,es,TATIAR LOPEZOBRADOR HLGATELL TUIMSS PONCHA RIONCITO THAT IS A FARMED TO A WOMAN XOCHITL MORVEZ who hides in the palace that continues to believe that it is his that he said that he would be open to the people what he did not say is that there would be restrictions for FIFI and conservative,0.0,0.5
2023-05-15 17:57:25+00:00,jesusensastigue tuimss con el numero de consultas programadas solo alcanza para escribir la receta,dosomasde100,sara flores,"durango, mexico",es,Jesusenstigue Tuimsss with the number of scheduled consultations only reaches to write the recipe,0.0,1.0
2023-06-05 15:41:44+00:00,"las madres y padres de la guarderia abc convocan a la prensa
hoy lunes 5 a las 11 horas realizaran un acto afuera de la scjn por el aniversario del incendio
previo a las 10 hrs estaran en el antimonumento abc que esta frente a las oficinas del imss sobre reforma httpstcobw3dxjnt40",goyzuetaabc,fabian goyzueta,"hermosillo, sonora",es,The mothers and fathers of the Nursery ABU convene the press today will perform an act outside the scan for the anniversary of the fire prior to the HRS will be in the ABU antimonipation that is in front of the IMSS offices on Reforma,0.0,0.025
2023-05-14 15:01:46+00:00,bepartofthesolu carlitoslim por la urgencia y despues en el imss he visto de primera mano la decadencia del sector salud ejemplo de ello es el hrz 25 en zaragoza iztapalapa cdmex en el 17 fue abandona por los sismos es la fecha que no se ha sustituido ni hay planes de hacerlo,adarel3,hector casillas  &,mexico,es,Bepartofthesolu Carlititoslim for urgency and then in the IMSS I have seen firsthand the decline of the health sector example of this is the beam in Zaragoza Iztapalapa eating in it was abandoned by the earthquakes is the date that has not been replaced or plans to do so,0.0,0.0
2023-06-14 20:53:55+00:00,"lopez obrador termino de dar la estocada final al precario sistema de salud en mexico  terribles condiciones del issste en reynosa tamaulipas mexico 
opsoms
anlo
issstemx 
lopezobrador 
diamundialdeldonantedesangre 
conferenciapresidente 
amlo
httpstcox6nrp4dkmb",josmar68,pepe mtz ,"desde la zona riberena de tamaulipas, mexico.",es,LOPEZ OBRADOR I finish giving the final lunge to the precarious health system in Mexico terrible isste conditions in Tamaulipas mexico kingdoms I bear isstemx LopezObrador DiamundialDonanteDonantesangegregrefre Conference Bad conference,-0.5666666666666665,0.8888888888888888
2023-02-22 05:01:53+00:00,dice fervaldezworld que su experiencia personal define la experiencia colectiva segun su inteligencia el gordo es gordo porque quiere a pesar de su condicion medica osea goey atiendete y luego ve al gym es tan obvio deberian darle la secretaria de salud ,zorroparlanchin,el zorro parlanchin ,"queretaro arteaga, mexico",es,Fervaldezworld says that his personal experience defines the collective experience according to his intelligence the fat man is fat because he wants despite his medical condition Joey attends and then he sees the gym is so obvious they should give him the Secretary of Health,0.05,0.225
2023-01-27 13:28:54+00:00,mrflintstone1 la directora de la secretaria de salud a hablado,gilbertolozano6,ciclista de rancho,"martinez de la torre, veracruz",es,the director of the Secretary of Health to spoken,0.0,0.0
2023-06-02 21:04:26+00:00,gobiernomx lopezobrador tuimss justicia para don arturo,vivaamloforever,aruna,unknow,es,LOPEZOBRADOR GOVERNMENT TUIMSS JUSTICE FOR DON ARTURO,0.0,0.0
2023-05-28 13:59:45+00:00,zoerobledo diegosinhue tuimssgto pregunte en las clinicas sobre las mejoras a los pacientes a los trabajadores especialmente a los de guerrero es una mentira se olvido completamente de imss regimen ordinario el peor director para imss regimen ordinario se dedico a quedar bien con el presidente y mentirle,vivis720390351,vivis,"ixtapaluca, mexico",es,Zoerobledo Diegosinhue Timssgto Ask in clinics about the improvements to patients to workers especially those of Guerrero is a lie completely forgot about IMSS Ordinary Regime The worst director for IMSS Ordinary regime,-0.27999999999999997,0.6799999999999999
2023-03-02 01:28:36+00:00,"pandemia covid nuevoscasos chiapas 
salud anuncia 9 positivos de covid19

la secretaria de salud del estado puntualizo que la circulacion del virus continua en la entidad aunque con menor prevalencia pero es importante que para mantener controlada la enfermedad httpstcoua2lj9gyrc",ensaladadeg,ensalada de grillos,"tuxtla gutierrez, chiapas",es,Pandemia new foods Health announces positive of the Secretary of Health of the State to point out that the circulation of the virus continues in the entity although with less prevalence but it is important that to keep the disease controlled,0.14924242424242426,0.5166666666666666
2023-05-03 21:01:31+00:00,marimelgarejo10 betogargo de hecho el imss la tiene gratis y btw vasectomia sin bisturi que tener hijos es de dos ah pero no el aborto quiubo,fay_yui,tsubasa ,howgarts (solo de los libros),es,Betogargo in fact the IMSS has it for free and bow vasectomy without a scuri that having children is two ah but not abortion I want,0.4,0.8
2023-05-28 18:18:36+00:00,"la hemofilia es una enfermedad hereditaria que hasta el momento es incurable en el tuimss se brindan tratamientos en promedio a 2 mil 800 personas la donacion de sangre es importante para este tratamiento por eso los invitamos a donar

aqui les dejo mas informacion  httpstcotrloy47un6",zoerobledo,zoe robledo,"chiapas, mexico",es,"Hemophilia is a hereditary disease that so far is incurable in the tuness, treatments are given to a thousand people. Blood donation is important for this treatment, so we invite you to donate here I leave more information",0.125,0.775
2023-05-08 17:17:03+00:00,"pues claro guanajuato 
no se agrego al sueno guajiro de lopezobrador de el quiensabi que ahora es imss bienestar manana ni idea
eres grande diegosinhue leongto01 
saludos antaresvazala httpstcowhfmslfsou",guillermogaytn3,guillermo gaytan miranda,"leon, guanajuato",es,Of course Guanajuato was not added to the guajiro dream of lopezobrador of El Quiensabi that is now the morning welfare nor idea you are great Diegosinhue greetings anti -vezala httpstcowhfmsLfsou,0.8,0.75
2023-04-27 21:47:37+00:00,mejorar la tasa de reperfusion oportuna e identificar los signos y sintomas del infartocerebral incrementa la sobrevida y disminuye las secuelas y discapacidad smmeac amevasc1 tuimss unidos presentando estrstegia camaleon en el mxdiputados httpstco1bppfgsxov,dansan911,dr. daniel sanchez arreola,miguel hidalgo,es,Improving the timely repercussion rate and identifying the signs and symptoms of infarotacero increase,0.0,0.0
2023-06-21 20:01:09+00:00,fanieorozco no olvidemos que el imss que deberia pagar por tu jubilacion esta quebrado por la corrupcion,hektorestrada,hector estrada,unknow,es,Fanieorozco let's not forget that the IMSS that should be paid for your retirement is broken by corruption,-0.4,0.4
