Datetime,Content,Username,DisplayName,Location,Lang,Content_en,polarity,subjectivity
2023-06-27 16:38:52+00:00,dhanielkortes3 dralejopuente por eso es un lujo no todos se lo pueden dar  si no les alcanza para eso hay opciones centros de salud imss issste no exigir en un centro privado a regatear,krlixa,pumbalicious ,"en tu cabeza, soy imaginada",es,"Dralejopuente so it is a luxury, not everyone can give it to them if they are not enough for that there are options health centers ISSSTE not to demand in a private center to haggle",-0.03333333333333333,0.325
2023-06-27 16:31:49+00:00,issste cmf morelos promoviendo un cambio en el estilo de vida en los talleres graficos de mexico llevando la atencion primaria ala salud con el programa ecos bienestar y el programa 3 x 13 yo cuido mi salud httpstco6d1to9uiuu,drarociogonzale,dra. rocio gonzalez gtz,unknow,es,ISSSTE CM Models promoting a change in lifestyle in the graphic workshops of Mexico taking the primary health care with the Ecos Welfare program and the X program I take care of my health,0.2,0.45
2023-06-27 16:28:59+00:00,lumendoz issstemx drpedrozenteno no tiene madre amlo un delincuente,josecua29435404,jose cuauhtemoc mejia rubio,polanco i seccion,es,Ducedrozentan Lumendoz isstemx does not have a bad mother a criminal,-0.4,0.55
2023-06-27 16:25:53+00:00,issstemx aun hay discriminacion de personas con supuesto covid no las atienden aunque lleven a sus hijos piden realizar pruebas y que las paguen por fuera y con la amenaza de si resultan negativos no brindaran en el servicio no deberian tener este certificado,neyramargarita1,neyra margarita garcia torres,unknow,es,ISSSTEMX There is still discrimination of people with alleged food do not serve them even if they take their children ask to perform tests and pay them on the outside and with the threat of whether they are negative they did not provide in the service they should not have this certificate,-0.13333333333333333,0.18333333333333335
2023-06-27 16:25:23+00:00,"donfifiliberto ryohermoso de acuerdo este sistema actual de gobierno no  funciona ni funcionara nunca y se esta deteriorando todo desde cfe  aguaydrenaje seguridadciudadana fgr imss issste proteccioncivil aeropuertos aduanas 
carreteras sin seguridad y casetas de cobro cada dia mas caras",marcelo_tafich,marcelo_tafich,mexico,es,Donfifiliberto Ryohermoso Agree this current system of government does not work or work and is deteriorating everything from faith water and citizen security for IMSS ISSSTE Protection Customs Airports Roads without safety and collection booths every day more expensive,0.0,0.5333333333333333
2023-06-27 16:25:03+00:00,"rkastrejon hlgatell malun4 gloriagarzaiba crissygarzao klaudiadiaz9 pastordc3110 eliset04 evanthum soylexmex para llorar todos los hospitales publicos de mexico ya sea del imss o del issste 

una basura

para que desaparecieron el seguro popular 

el pg esta haciendo pedazos el sistema de salud mexicano",cherchezla1,cherchezlafemme,unknow,es,RKASTREJON HLGATELL GLORARZAIBA CRISSYGARZAO EVANTHUM SOLEXMEX To cry all public hospitals of Mexico either of the IMSS or the ISSSTE a garbage so that popular insurance disappeared the PA is making pieces the Mexican health system,0.04999999999999999,0.3416666666666667
2023-06-27 16:23:59+00:00,issstezoriente issstemx no hay citas en la plataforma y si acudes sin cita te dicen que te la dan hasta 2 meses despues y entonces existe la posibilidad de perder el credito por el tiempo en que puedas finalizar el tramite httpstco2kvx3yydzu,rvalenzuelawolf,wolf,unknow,es,ISSSTEZORIENTE ISSSTEMX There are no appointments on the platform and if you go without an appointment they tell you that they give it to you until months later and then there is the possibility of losing the credit for the time when you can finish the procedure,0.0,0.0
2023-06-27 16:22:47+00:00,issstemx servidores publicos burlandose del pueblo cada que asisten a consultas a las unidades medicas les gusta  calentar la silla y cobrar por ello no revisan bien a los pacientes 15 min de consulta son insuficientes jefas de medicos encubren a sus colegas no pasando los reportes,neyramargarita1,neyra margarita garcia torres,unknow,es,ISSSTEMX public servers mocking the town every time they attend consultations to medical units like to heat the chair and charge for it do not check well the Min patients of consultation are insufficient heads of doctors undergo their colleagues not passing the reports.,0.0,0.03333333333333333
2023-06-27 16:19:35+00:00,cuando esten al frente de un equipo de comunicacion de una institucion como issstemx y de verdad quieran ser inclusivos minimo investiguen el alfabeto del pais para el que se elabora el producto no hagan estas chingaderas esas configuraciones no son del alfabeto de la lsm  httpstcovewgh8ose3,_marcelupi,educational rockstar ,"distrito federal, mexico",es,When they are at the head of a communication team from an institution such as ISSSTEMX and really want to be a minimum inclusive investigate the country's alphabet for which the product is made do not make these chingaderas these configurations are not from the ls,0.03333333333333333,0.4333333333333333
2023-06-27 16:13:55+00:00,pues existe el imssissste ssa y asi amiguito ser medico especialista no es de a gratis y menos un servicio de beneficencia publica,vivazeppelin,el oso rulo,unknow,es,because there is the IMSSISSSTE that and thus a friend being a specialist doctor is not free and less a public charity service,-0.13854166666666667,0.35833333333333334
2023-06-27 16:11:08+00:00,el insabi al dia de ho no fracasoestuvo durante el covid se construyeron hospitales ahora cambio a s bienestar van paulatinamente en estados mas precarios equipandolos y modernizandolos en imss e issstehace poco recibieron presupuesto para atender a las que no lo tienen,lydiasa70008588,lydia sanchez,unknow,es,"The insane a day of Ho did not fail during the meal, hospitals were built now change to well -being gradually in more precarious states by equating them and modernizing them in IMSS and ISSSTEHACE little received a budget to attend to those who do not have it",0.1875,0.4333333333333333
2023-06-27 16:00:01+00:00,"seamosincluyentes con las personas que padecen la sordoceguera para que sean reconocidas como parte de un grupo social que tiene los mismos derechos y oportunidades

cndhmx
conapred
onuderechos
ssaludmx
ssaludcdmx
issstemx
tuimss httpstcojmtp0aqegs",inapam,inapam,mexico,es,Let us include people who suffer from the deafberee to be recognized as part of a social group that has the same rights and opportunities CNDHMX Conapred only reudes ssaludmx ssaludcdmx isstemx tunems,0.016666666666666666,0.09583333333333333
2023-06-27 16:00:00+00:00,"el imss y el issste no se privatizaran a partir de agosto

se trata de desinformacion pues el supuesto aviso circulo al menos desde 2015 y en su momento las autoridades lo desmintieron
httpstcofgzsrnexun",elsabuesoap,el sabueso,mexico df,es,The IMSS and the ISSSTE is not privatized from August it is misinformation because the alleged circle warning at least since and at the time the authorities denied it Httpstcofgzsrnexun,-0.3,0.4
2023-06-27 15:59:07+00:00,ryohermoso tiene toda la razon soy paciente del issste en el bajio y no hay especialistas urologos cardiologos etc y los que llegan a estar ahi renuncian por falta de insumos para atender a los pacientes es un asco este gobierno y claro que apoyo a los medicos,gaistardo16,rogelio gaistardo villasenor,unknow,es,Ryohermoso is all right of the ISSSTE patient in the bass and there are no Urologist Cardiologists etc.,0.06785714285714284,0.5178571428571428
2023-06-27 15:56:48+00:00,y si van a donar traigan su juguito porque ya no les dan bueno en el imss nunca me han dado solo en el issste,zaphirako,zaphire on fire,mexico,es,And if they are going to donate they bring their juice because they are no longer given in the IMSS have never given me alone in the ISSSTE,0.0,0.0
2023-06-27 15:55:24+00:00,ahi estan el insabi e imss y el issste y asi no comes aire no es a huevo pagarle a un particular buena suerte,loathsomesback,lou evers,cdmx,es,There are the insane and imss and the ISSSTE and so you do not eat air is not to egg to pay for a particular good luck,0.4333333333333333,0.4666666666666667
2023-06-27 15:50:19+00:00,"mantiene el issstemx sus actividades artisticas con motivo del dia internacional del orgullo lgbtiq

lopezobrador 
jesusrcuevas 
drpedrozenteno 
almarosariver16 httpstcoajbblb27fb",vladrothschuh,palacio nacional,mexico,es,maintains the ISSSTEMX its artistic activities on the occasion of the International Day of Pride LGBTIQ LOPEZOBRADOR JESUSRCUEVAS DUPPEDROZENTEO,0.16666666666666666,0.5
2023-06-27 15:48:54+00:00,issstemx  buenos dias requiero una cita medica y quiero agendar por telefono o internet por telefono duro mucho tiempo en linea y no me conecta mientras que por internet no me carga el sitio que procede tengo que salir del trabajo para ir a agendar,ignaciozuniga11,nacho,"guanajuato, mexico",es,ISSSTEMX Good morning I require a medical appointment and I want to schedule by telephone or internet for a long time in line and it does not connect to me while I do not charge me the site that proceeds I have to leave work to go to schedule,0.21666666666666665,0.3333333333333333
2023-06-27 15:45:46+00:00,lumendoz issstemx drpedrozenteno solo como dato que se lea el propio secretario de salud en las conferencias de las mananerasdijieron y cito  se an invertido 1000 millones de pesos en le sector salud sus propias palabras pues en donde en que donde esta la inversion  otra mentiras ms robo y mas,therussog,paco garza,unknow,es,Lumendoz isstemx Ducedrozentian only as data read the Secretary of Health itself at the conferences of the manneries dijó and quoted millions of pesos were invested in the health sector their own words because where where is the investment another lies more robbery and more,0.195,0.675
2023-06-27 15:45:42+00:00,rafanormamende1 cartoncalderon reforma lopezobrador hlgatell issstemx no permitamos que se olvide,cesarfcocd,cesar fco.  ,san juan del rio,es,CARTONCALDERON REFORME LOPEZOBRADOR HLGATELL ISSSTEMX WE DO NOT ALLOW FORGET,0.0,0.0
2023-06-27 15:45:03+00:00,una propuesta superadora del kirchnerismo espanol en lugar de una lista de productos con precios acordados entre el estado y las empresas una cadena de tiendas de propiedad y gestion publica como las tiendas issste en mexico httpstcoyjbfromi3l,hghiretti,hector ghiretti,"mendoza, argentina",es,A proposal overcome from Kirchnerism Espanol instead of a list of products with prices agreed between the State and the companies a chain of owned and public management stores such as ISSSTE stores in Mexico,0.0,0.18888888888888888
2023-06-27 15:43:44+00:00,alberto no zuma ayuda para el hospital general y el issste en el mante httpstco4lngf0glgy via jesusjesavila,jesusavilamuri3,jesus avila murillo,unknow,es,Alberto does not add help for the General Hospital and the ISSSTE in the mind via Jesusjesavila,0.05000000000000002,0.5
2023-06-27 15:37:55+00:00,lumendoz issstemx drpedrozenteno jajaja jajajaja jajajaja jajajaja no me m4m3s la vrg pinch3 dizque periodistalady chanel,lupotus1,jelipe,"azcapotzalco, distrito federal",es,LUMENDOZ ISSSTEMX DRPEDROZENTEO HAHAHAHAHAJAHAJAJA HAHAJAJA I don't vtg Dizque journalistalady chanel,0.0,0.0
2023-06-27 15:32:11+00:00,enfasisnoticias issstemx no hay citas,a2043070314,von doom,"monterrey, nuevo leon",es,ISSSTEMX ENVIRONTICS There are no quotes,0.0,0.0
2023-06-27 15:25:41+00:00,"al chile que envidia de la doctora de salud reproductiva del issste quiero hacerme la vasectomia pero en dos meses ha estados de vacaciones como 4 semanas 
al chile good for her",kojyneox,organismo estresado llamado nelson,erobe,es,To the Chile that envies of the Issste reproductive health doctor I want,0.0,0.0
2023-06-27 15:07:37+00:00,"fatal servicio issstemx citas medicas veracruz nadiedicenada nadiehacenada 

sismo  luisapresidenta",hctorra98886497,hector ramos,unknow,es,Fatal Service ISSSTEMX MEDICAL DIVITIES VERACRUZ NOBODY NOBODY HAS,0.0,0.0
2023-06-27 15:06:02+00:00,trotar es una forma de ejercitarte y la actividad fisica tiene beneficios a tu salud  ejercitate y rompe el ciclo vivesaludablemente  sap s atencion psiquiatrica consejo nacional de salud mental imss issste httpstcoeeyp0vxorq,capahillo,uneme-capa hermosillo norte,unknow,es,Trotar is a way of exercising you and physical activity has benefits to your health exercise and break the lively life cycle salt,0.012121212121212116,0.2809523809523809
2023-06-27 15:05:14+00:00,los diferentes temas laborales derechospsicologicossociales que se anuncian en la plataforma del sistema computarizado de las diferentes dependencias deberian contar con  el link para a poder accesar y al final imprimir constancia issste issstemx lopezobrador,carmenvalleee,carmen valle,unknow,es,The different labor issues,0.0,0.6
2023-06-27 15:03:24+00:00,usuariosissste issstemx gobiernomx pesima atencion de la persona para dar fichas en la cmfmarina nacional grosera prepotente y no da la informacion que se solicita hay michas quejas de esta persona y sigue en la misma area,bandita_pedera,furiosa tangananica,unknow,es,Userssste ISSSTEMX GOVERNMENT PESIMA ATTENTION OF THE PERSON TO GIVEFULS IN THE NATIONAL CUMARINE GRISING OLDING AND DOES NOT GIVE THE INFORMATION THAT IS REQUESTED There are many complaints from this person and continue in the same area,0.0,0.0
2023-06-27 15:03:00+00:00, lanota escandaloso incidente en el hospital del issste en tapachula chiapas gotera cae sobre paciente durante cirugia en la clinica roberto nettel flores httpstcoy1ilxthomz,raozrmz,raul ramirez,regio viviendo en #cdmx,es,Write up scandalous incident in the ISSSTE hospital in Tapachula Getra Gotera falls on patient during surgery in Roberto Better Flores clinics,0.0,0.0
2023-06-27 14:52:29+00:00,escuchar chismes de senoras en el issste lo mas,ferchis_limones,ferchis,unknow,es,Listen to sinoras in the ISSSTE most,0.5,0.5
2023-06-27 14:36:58+00:00,"conejodebelen como paciente 1000 recomendado

como trabajador es buen lugar salario adecuado pero desquitaras cada centavo si te gusta la vida imss ssa yo issste tendras muchos problemas para adaptarte parametros diferentes a los que habitualmente se evaluan como medico institucional",rui_stavo,l2m report,unknow,es,BOBODEEN as a recommended patient as a worker is a good place adequate salary but take up every penny if you like life IMSS that Isste will have many problems to adapt different parameters to those that are usually evaluated as an institutional doctor,0.0,0.0
2023-06-27 14:26:47+00:00,video operan en issste de chiapas con gotera via reforma httpstcof2rvvttvlp,luciorm,lucio ramirez medina,unknow,es,Video operate in ISSSTE of sparks with Gotera via reform,0.0,0.0
2023-06-27 14:22:35+00:00,en redes circula un video donde se ve como una gotera moja a una paciente que es intervenida en un quirofano de la clinica hospital roberto nettel del issste en chiapas tapaleesta cayendo en el campo quirurgico se escucha httpstcoenjovp54rs,sethrojasmolina,seth rojas molina,reynosa,es,A video circulates in networks where a patient is seen as a patient who is intervened in a chirofano of the Roberto Better hospital in the ISSSTE in Tapalesta sparks falling into the surgical field is heard,0.0,0.0
2023-06-27 14:20:45+00:00,y en el issstemx  que mal dirige el sumiso obediente pedrozentenosa1   hasta cuatro meses,cel4751,clochard inquisidor,"new haven, in",es,And in the ISSSTEMX that Mald the submissive obedient up to four months,0.0,0.0
2023-06-27 14:18:53+00:00,de manifiesto a programa de salud httpstco33tffwkufs canifarma saludcce concamin cimuncol cofepris tuimss issstemx,marielenavega,marielenavega,mexico df,es,"Demonstration of Canifarma Health Program, He contaminates Cimuncol Cofepris Timss ISSSTEMX",0.0,0.0
2023-06-27 14:15:27+00:00,portillogmayra si sabes lo que esta pasando en el issste en unos dias mas lo comunica el presidente a lo mejor por eso tu madre sufre por la insulina antes no tenia problemas ,debol88034400,debol,unknow,es,"Portillogmayra If you know what is happening in the ISSSTE in a few more days the president communicates, maybe your mother suffers from insulin before I had no problems",-0.09999999999999999,0.4333333333333333
2023-06-27 14:10:12+00:00,"vitalmex librando investigaciones y multas se lleva contrato con el issste
heraldodemexico
httpstcofwsgu30sxl",maribelrcoronel,salud y economia. economia y salud,"ut: 19.384652,-99.174113",es,vital pounding research and fines is brought a contract with the ISSSTE HERALDODEMEXICO,0.0,0.0
2023-06-27 14:07:09+00:00,lillytellez fiscaliacdmx cirogomezl tambien el juzgado 24 civil debe dejar de darle oportunidad al issstemx de meter documentos dilatorios y pagarle a la empresa de mi familia porque nos deben desde 2003 pero nosotros no tenemos un politico que alce la voz por nuestro caso ya que somos gente comun nos apoyas,omargarciadgo,omar garcia santana,"durango, mexico",es,Lillytellez Prosecut,-0.3,0.5
2023-06-27 14:04:41+00:00,"el difdurango con marisolrosso lleva a cabo su segunda campana de aparatos auxiliares auditivos gratuitos en esta ocasion todos los duranguenses podran tener accesos a estos apoyos sin importar si cuentan con imss o issste tienen hasta el 4 de julio para llevar su papeleria a dif estatal o al pbp de la secretaria de salud 
los requisitos son
receta o resumen medico 
ine 
curp 
comprobante de domicilio 
formatos especiales los cuales son elaborados por personal de trabajo social",hermannlinden,hermann linden,unknow,es,"The Diffdurango with Marisolrosso carries out its second bell of free auditory auxiliary devices on this occasion all the Duranguenses can have access to these supports regardless of whether they have IMSS or ISSSTE they have until July to take their paper to the state DIF or the pop From the Secretary of Health, the requirements are recipe or medical summary come cure voucher of domicile special formats which are prepared by social work personnel",0.1580952380952381,0.2876190476190476
2023-06-27 14:02:24+00:00,el difdurango  va a obsequiar aparatos auditivos para duranguenses que los necesiten no importa si tienen o no tuimss  o issstemx acudir a oficinas con papeleria basicalavozdedurango httpstco4nwy6mxc4f,jn_lavoz,juan nava stenner,"durango, durango",es,The Diffdurango will give auditory devices for Duranguenses that need them no matter if or not they have tunems or ISSSTEMX to go to offices with a basic basic shore,0.0,0.125
2023-06-27 14:01:26+00:00,y lo que son las cosas la dentista de la familia tiene su consultorio a una cuadra del issste de la bravo y afirma que desde que gano el prd casi 25 anos no adoquinan las calles del perla ni las aledanas a gobierno ,homerfsp,homero francisco,"la paz, baja california sur",es,And what things are the family dentist has his office one block from the ISSSTE DE LA BRAVO and affirm that since the pro almost non -cobblestones the streets of the pearl or the German to government,0.0,0.0
2023-06-27 13:53:09+00:00,lopezobrador lopezobrador ssaludmx diputadosmorena aplauden ahorro sin haber cumplido con la necesidad ahorro que lleva muchas vidas y me extrana que entes como imss issste e issfam permitan que los pisoteen,aaronma45819105,aaron martinez,unknow,es,LOPEZOBRADOR LOPEZOBRADOR SSALUDMX DeputadosMorena applaud savings without having fulfilled the need for savings that leads many lives and I am extracted that entities like IMSS ISSSTE and ISSFAM allow them to trample them,0.5,0.5
2023-06-27 13:50:42+00:00,oye issstemx que hay de cierto que el proximo viernes corren a todos los empleados del turissste  cierran las puertas  los van a liquidar o les van a receta le la misma que a los empleados de las agencias estatales  a las 550 pm les van avisar que estan fuera,guerre_adriano,adriano.guerre,"venustiano carranza, distrito ",es,Hey ISSSTEMX that is true that next Friday runs to all the employees of the Turisssste they close the doors are going to liquidate them or they are going to recipe them as the employees of the state agencies to the PM are notified that they are outside,0.11666666666666665,0.23333333333333336
2023-06-27 13:44:44+00:00,twitter borro mi tuit con el video de la infame fila que hacen los pacientes en la clinica del issste tecamacsiguen alli esperando lleguen la responsable menos construccion y mas medicoslopezobrador httpstcooegtwbzcp4,wawaq,wawaq,unknow,es,Twitter I deleted my tweet with the infamous video that patients make in the ISSSTE TECAMACSIGEN ALLI CLINIC,-0.055555555555555546,0.5222222222222223
2023-06-27 13:42:06+00:00,"giovisnando fenazopiridinaa pues ahi esta el imss issste centro de salud hospital de la secretaria  salud digna simi benavides y una serie mas de lugares en donde se puede uno atender ya sea de forma gratuita o bastante accesible

no es de ahuevo irte a gastar 2 mil lanas hay para todos",smackmygrinchup,grinchy mcgrinchface md,the milky way,es,Giovisnando phenazopyridine because there is the IMSS ISSSTE Health Center Hospital of the Secretary Health Digna Benavides and one more series of places where one can attend either for free or quite accessible is not eggs to go to spend a thousand wool all,0.29375,0.44375
2023-06-27 13:37:26+00:00,a las 645 sale un empleado y entrega 40 fichas fueron afortunados los que llegaron 400 am los demas siguen esperando haber si por lo menos les surten su medicina asi es diario ya no construyan y contraten mas medicos issstemx lopezobrador,wawaq,wawaq,unknow,es,"To the employee and delivery of chips, those who arrived am the others are still waiting to be waiting if they at least supply their medicine so it is daily no longer build and hire more medical ISSSTEMX LOPEZOBRADOR",0.12000000000000002,0.32
2023-06-27 13:31:33+00:00,issstesalud en clinica tecamac formados desde las 4 de la manana para mendigar una cita x tel o red cerradas hasta el nuevo aviso  pedrozentenosa1 httpstcous7virpfko,wawaq,wawaq,unknow,es,ISSSTESALUD IN CLINICA TECAMAC formed from those of the morning to beg an X tel or network closed to the new notice,0.018181818181818174,0.2772727272727273
2023-06-27 13:11:46+00:00,"elninoterrible issstemx mi vido guapo
te amodoro elninoterrible",cielitoelectric,cielitoelectrico,fuera del mundo ,es,The ninoterrible isstemx my handsome life I adore you the ninoterrible,0.0,0.0
