Datetime,Content,Username,DisplayName,Location,Lang
2023-06-27 17:09:57+00:00,"El DG del ISSSTE se reunio hoy con las areas del Instituto involucradas en la construccion de los nuevos hospitales Informo que ya se inicio el colado de lozas en Torreon Tlajomulco y Cabo San Lucas Se avanza en tiempo y forma 
NuevoISSSTE httpstcop4yS9ft5wW",IsssteJalisco,Issste Jalisco,,es
2023-06-27 17:08:30+00:00,Para no perder la costumbre NO HAY SISTEMA en ISSSTEmx ISSSTE CMFCUITLAHUAC CDMX,monikah23,Monica H.,Mexico,es
2023-06-27 17:08:27+00:00,drpedrozenteno srPedro por que no hay papeleria en el issste de san Cristobal para tramites sencillos  Dos meses y vuelta y vuelta O se trata de fastidiar a la gente y que se joda ,virgilio_alegre,virgilio alegre,,es
2023-06-27 17:07:11+00:00,Este miercoles 28 de junio 2023 a las 900 AM conectate a Familia y Salud    de JaliscoTV con Mayra Carrillo y Dr Miguel Angel Ochoa Con Dra Celina Naranjo Garcia Especialista en Pediatria en el Hospital Regional Dr Valentin Gomez Farias Tema Bebes Prematuros httpstcodZXckd9ME2,IsssteJalisco,Issste Jalisco,,es
2023-06-27 17:06:49+00:00,ISSSTEmx  de risa que no tengan Internet en sus instalaciones que dan atencion al publico  Gracias 4T ni buen Internet puedes contratar,lindacristinana,linda navarro,,es
2023-06-27 17:06:11+00:00,GuacamayanLeaks lopezobrador Sin gasolina de 10 x litro sin medicamentos para ninos con cancer sin medicamentos en el IMSS sin Seguro medico para la poblacion no adscrita a IMSS E ISSSTE sin apoyos al campo sin Corrupcion sin juicios a los culpables de la LINEA 12 sin trafico de influenciasufff etc,raideronthestor,FUENTE OVEJUNA,,es
2023-06-27 17:05:35+00:00,JesusRCuevas INEGIINFORMA Seguro ya sabes que toda la informacion que cacarean no ha servido para hacer justicia a los mas necesitados un ejemplo en los Hospitales IsssteDinamarca hay goteras en los quirofanos y como ese muchos ejemplos mas Corruptos y Cinicos muy 4t,gervelavi,Gerardo Velazquez,,es
2023-06-27 17:04:52+00:00,bugard63 ryohermoso No entendisteel gobierno no debe gastar mas de lo que ingresapor hacerse cargo de las pensiones IMSS e ISSSTEque representan una enorme cargapor eso se crearon las AFORESasi como el pago de deudano hay dinero para inversion productiva y Asno Manuel le quito ,MegasAlessandro,Karl Der Grosse,Somewhere in Time,es
2023-06-27 17:04:25+00:00,NO queremos al hospital del ISSSTE en el centro de convenciones de Acapulco  Firma la peticion httpstco1Es6nybD62 via ChangeMex,maad_moonchild,M,,es
2023-06-27 17:02:37+00:00,El Issste reafirma su compromiso de continuar promoviendo espacios y eventos que fomenten la aceptacion y el respeto a la diversidad sexual  trabajando en la garantia de los derechos y el bienestar de todas las personas que conforman nuestra sociedad concluyo Yezmin Lehmann httpstcoL581qC4Wzp,Issste_Zac,Issste Zacatecas,,es
2023-06-27 17:02:33+00:00,La tematica principal aborda la historia de ninos que han llegado a la adultez y han experimentado el cambio de genero resaltando la importancia de vivir de acuerdo con la identidad de cada individuo httpstcouMdUjsNvML,Issste_Zac,Issste Zacatecas,,es
2023-06-27 17:02:28+00:00,La exposicion titulada Ninos princesa senalo combina lo pictorico y fotografico y busca exponer historias de vida exitosas httpstcoYPq6MsMhNu,Issste_Zac,Issste Zacatecas,,es
2023-06-27 17:00:33+00:00,"AllRightHR A cab entonces sin IMSS e ISSSTE que propones

Hoy los DESTRUYO el POPULISMO FASCISTA y estamos MUCHO PEOR

BIG PHARMA iba a llegar tarde o temprano te guste o no la decision es tuya medicinas sinteticas o herbolaria tradicional",Patto53288125,Patto paton,Gdl,es
2023-06-27 16:58:58+00:00,AdinaChel No conocen al ISSSTE,ArlesMD,Arles,Mexico,es
2023-06-27 16:49:35+00:00,En Bermudez Abogados ofrecemos un servicio altamente especializado en el ambito laboral centrado en la evaluacion y gestion de los sistemas de pensiones del IMSS y el ISSSTE Si desea obtener mas informacion no dude en ponerse en contacto con nosotros  55 5564 4719 httpstcouPzItvxwSw,BermudezAboga2,Bermudez Abogados,"Cuauhtemoc, Distrito Federal",es
2023-06-27 16:42:55+00:00,SalvadorZA SCJN y cuanto ganas tu ahora antes de que vivias y cuanto has declarado de impuestos mereces pension del ISSSTE creo que el que mas ha ganado en este pais eres tu vives en un palacio y cuesta mucho vivir ahi tienes a un hijo en el extranjero aprendiendo a robar,DiegoCarlosNie2,Diego Carlos Nieto Sanchez,,es
2023-06-27 16:39:30+00:00,El ISSSTE en coordinacion con la Estancia para el Bienestar y Desarrollo Infantil Numero 100 llevo a cabo la actividad titulada Narradores orales en la cual se les narra un cuento La estrella de Sofia con la finalidad de cultivar la lectura a traves de juegos interactivos httpstcouCn5JubGTI,Issste_Campeche,Issste Campeche,"Campeche, Mexico",es
2023-06-27 16:38:52+00:00,dhanielkortes3 DrAlejoPuente Por eso es un lujo no todos se lo pueden dar  si no les alcanza para eso hay opciones centros de salud imss issste No exigir en un centro PRIVADO a regatear,krlixa,Pumbalicious ,"En tu cabeza, soy imaginada",es
2023-06-27 16:35:53+00:00,27 de junio I Dia Internacional de las Personas Sordociegas SabiasQue cerca del 90 de las personas sordociegas aun conservan un poco de vision o audicion Discapacidad httpstcoAAYHPpM5lc,IsssteNuevoLeon,Issste Nuevo Leon,,es
2023-06-27 16:31:49+00:00,ISSSTE Cmf Morelos promoviendo un cambio en el estilo de vida en los TALLERES GRAFICOS DE MEXICO Llevando la atencion primaria ala salud con el programa ECOS bienestar y el programa 3 x 13 yo cuido mi salud httpstco6D1tO9UIUU,DraRocioGonzale,Dra. Rocio Gonzalez Gtz,,es
2023-06-27 16:28:59+00:00,lumendoz ISSSTEmx drpedrozenteno No tiene madre amlo un delincuente,josecua29435404,jose cuauhtemoc Mejia Rubio,Polanco I Seccion,es
2023-06-27 16:28:16+00:00," COMUNICADO
Supervisa titular del ISSSTE construccion del Hospital General de Torreon 
httpstcoPBAzhziSTi httpstcoz0MxsAbpOH",IsssteNuevoLeon,Issste Nuevo Leon,,es
2023-06-27 16:25:53+00:00,ISSSTEmx Aun hay discriminacion de personas con supuesto COVID no las atienden aunque lleven a sus hijos Piden realizar pruebas y que las paguen por fuera y con la amenaza de si resultan negativos no brindaran en el servicio No deberian tener este certificado,NeyraMargarita1,Neyra Margarita Garcia Torres,,es
2023-06-27 16:25:23+00:00,"DonFifiliberto ryohermoso De acuerdo este sistema actual de Gobierno no  funciona ni funcionara nunca y se esta Deteriorando todo desde cfe  aguaydrenaje seguridadciudadana fgr imss issste proteccioncivil aeropuertos Aduanas 
Carreteras sin seguridad y casetas de cobro cada dia mas caras",Marcelo_tafich,Marcelo_tafich,Mexico,es
2023-06-27 16:25:03+00:00,"rkastrejon HLGatell MaluN4 gloriagarzaiba CrissyGarzaO KlaudiaDiaz9 pastordc3110 Eliset04 evanthum SoyLexMex Para llorar TODOS los hospitales publicos de Mexico ya sea del IMSS o del ISSSTE 

Una basura

Para que desaparecieron el Seguro Popular 

El PG esta haciendo pedazos el sistema de salud mexicano",cherchezla1,cherchezlafemme,,es
2023-06-27 16:23:59+00:00,IsssteZOriente ISSSTEmx NO HAY CITAS EN LA PLATAFORMA y si acudes sin cita te dicen que te la dan hasta 2 meses despues y entonces existe la posibilidad de perder el credito por el tiempo en que puedas finalizar el tramite httpstco2KVx3YYDZu,rvalenzuelawolf,WOLF,,es
2023-06-27 16:22:47+00:00,ISSSTEmx Servidores publicos burlandose del pueblo cada que asisten a consultas a las unidades medicas Les gusta  calentar la silla y cobrar por ello no revisan bien a los pacientes 15 min de consulta son insuficientes Jefas de medicos encubren a sus colegas no pasando los reportes,NeyraMargarita1,Neyra Margarita Garcia Torres,,es
2023-06-27 16:22:24+00:00,"27 de junio I Dia Internacional de las Personas Sordociegas
SabiasQue cerca del 90 de las personas sordociegas aun conservan un poco de vision o audicion
Discapacidad httpstcoCzQF97ogBM",Issste_BCN,Issste_BajaCalifornia,,es
2023-06-27 16:19:35+00:00,Cuando esten al frente de un equipo de comunicacion de una institucion como ISSSTEmx y de verdad quieran ser inclusivos minimo investiguen el alfabeto del pais para el que se elabora el producto No hagan estas chingaderas esas configuraciones no son del alfabeto de la LSM  httpstcoVeWgh8oSe3,_Marcelupi,Educational Rockstar ,"Distrito Federal, Mexico",es
2023-06-27 16:13:55+00:00,Pues existe el IMSSISSSTE SSA y asi amiguito Ser medico especialista no es de a gratis y menos un servicio de beneficencia publica,vivazeppelin,El Oso Rulo,,es
2023-06-27 16:11:08+00:00,El INSABI al dia de ho no fracasoestuvo durante el Covid se construyeron hospitales Ahora cambio a S Bienestar van paulatinamente en estados mas precarios equipandolos y modernizandolos En IMSS e ISSSTEHace poco recibieron presupuesto para atender a las que no lo tienen,LydiaSa70008588,Lydia Sanchez,,es
2023-06-27 16:00:01+00:00,"SeamosIncluyentes con las personas que padecen la Sordoceguera para que sean reconocidas como parte de un grupo social que tiene los mismos Derechos y Oportunidades

CNDHmx
CONAPRED
ONUderechos
SSaludmx
SSaludCdMx
ISSSTEmx
TuIMSS httpstcojmtP0aqEgS",INAPAM,INAPAM,Mexico,es
2023-06-27 16:00:00+00:00,"El IMSS y el ISSSTE no se privatizaran a partir de agosto

Se trata de desinformacion pues el supuesto aviso circulo al menos desde 2015 y en su momento las autoridades lo desmintieron
httpstcofgZsRNeXUN",ElSabuesoAP,El Sabueso,Mexico DF,es
2023-06-27 15:59:07+00:00,ryohermoso Tiene toda la razon soy paciente del ISSSTE en el bajio y no hay especialistas urologos cardiologos etc y los que llegan a estar ahi renuncian por falta de insumos para atender a los pacientes es un asco este gobierno y claro que apoyo a los medicos,gaistardo16,Rogelio Gaistardo Villasenor,,es
2023-06-27 15:56:48+00:00,Y si van a donar traigan su juguito porque ya no les dan Bueno en el IMSS nunca me han dado solo en el ISSSTE,Zaphirako,Zaphire On Fire,Mexico,es
2023-06-27 15:55:24+00:00,Ahi estan el INSABI e IMSS y el ISSSTE y asi no comes aire No es a huevo pagarle a un particular Buena suerte,loathsomesback,Lou Evers,CDMX,es
2023-06-27 15:50:19+00:00,"Mantiene el ISSSTEmx sus actividades artisticas con motivo del Dia Internacional del Orgullo LGBTIQ

lopezobrador 
JesusRCuevas 
drpedrozenteno 
AlmaRosaRiver16 httpstcoAJbblB27FB",VladRothschuh,PALACIO NACIONAL,Mexico,es
2023-06-27 15:48:54+00:00,ISSSTEmx  Buenos dias requiero una cita medica y quiero agendar por telefono o internet por telefono duro mucho tiempo en linea y no me conecta mientras que por internet no me carga el sitio Que procede tengo que salir del trabajo para ir a agendar,IgnacioZuniga11,NACHO,"Guanajuato, Mexico",es
2023-06-27 15:45:46+00:00,lumendoz ISSSTEmx drpedrozenteno Solo como dato que se lea el propio secretario de salud en las conferencias de las mananerasdijieron y cito  se an invertido 1000 millones de pesos en le sector salud sus propias palabras pues en donde En que Donde esta la inversion  Otra mentiras ms robo y mas,TheRussoG,Paco garza,,es
2023-06-27 15:45:42+00:00,RafaNormaMende1 CartonCalderon Reforma lopezobrador HLGatell ISSSTEmx No permitamos que se olvide,cesarfcocd,cesar fco.  ,San Juan del Rio,es
2023-06-27 15:45:03+00:00,Una propuesta superadora del kirchnerismo espanol En lugar de una lista de productos con precios acordados entre el Estado y las empresas una cadena de tiendas de propiedad y gestion publica Como las tiendas ISSSTE en Mexico httpstcoYJbfrOmi3L,HGhiretti,Hector Ghiretti,"Mendoza, Argentina",es
2023-06-27 15:43:44+00:00,Alberto no zuma ayuda para el Hospital General y el ISSSTE en El Mante httpstco4LNgf0GLGY via JesusJesavila,JesusAvilaMuri3,Jesus Avila Murillo,,es
2023-06-27 15:37:55+00:00,lumendoz ISSSTEmx drpedrozenteno Jajaja jajajaja jajajaja jajajaja no me m4m3s la vrg pinch3 dizque periodistaLady Chanel,Lupotus1,jelipe,"Azcapotzalco, Distrito Federal",es
2023-06-27 15:32:11+00:00,enfasisnoticias ISSSTEmx No hay citas,A2043070314,Von Doom,"Monterrey, Nuevo Leon",es
2023-06-27 15:25:41+00:00,"Al chile que envidia de la doctora de salud reproductiva del ISSSTE quiero hacerme la vasectomia pero en dos meses ha estados de vacaciones como 4 semanas 
Al chile good for her",KojyNeox,Organismo estresado llamado Nelson,Erobe,es
2023-06-27 15:16:12+00:00,Las y los trabajadores y derechohabientes IsssteQueretaro se activan fisicamente para prevencion y autocuidado de su salud IsssteSalud NuevoIssste httpstcoWwgx49Y7K5,IsssteQueretaro,Issste Queretaro,"Queretaro, Queretaro Arteaga",es
2023-06-27 15:15:12+00:00,"BuenMartes La Representacion Estatal ISSSTEQueretaro agradecemos que nos sigas en nuestras redes sociales 
Con gusto de apoyamos NuevoIssste FamiliaIssste LosBuenosSomosMas httpstcoooIXZGPJIK",IsssteQueretaro,Issste Queretaro,"Queretaro, Queretaro Arteaga",es
2023-06-27 15:08:39+00:00,"Martes de Campana YaPrevIsssteYaLaHiciste 
Las y los trabajadores IsssteQueretaro modifican sus habitos alimenticios para prevencion y autocuidado de su salud
ISSSTESalud NuevoIssste 
YaPrevIsssteYaLaHiciste httpstcon60AV2SLRt",IsssteQueretaro,Issste Queretaro,"Queretaro, Queretaro Arteaga",es
2023-06-27 15:07:37+00:00,"Fatal Servicio ISSSTEmx citas medicas Veracruz nadiedicenada nadiehacenada 

Sismo  LuisaPresidenta",HctorRa98886497,Hector Ramos,,es
2023-06-27 15:06:02+00:00,Trotar es una forma de ejercitarte y la actividad fisica tiene beneficios a tu salud  Ejercitate y rompe el ciclo ViveSALUDableMENTE  SAP S Atencion Psiquiatrica Consejo Nacional de Salud Mental IMSS ISSSTE httpstcoEeyp0VXORq,CapaHillo,Uneme-Capa Hermosillo Norte,,es
2023-06-27 15:05:14+00:00,Los diferentes temas laborales derechospsicologicossociales que se anuncian en la plataforma del sistema computarizado de las diferentes dependencias deberian contar con  el link para a poder accesar y al final imprimir constancia issste ISSSTEmx lopezobrador,Carmenvalleee,Carmen Valle,,es
2023-06-27 15:04:43+00:00,"Enterate  Especialistas en Oftalmologia de la Clinica Hospital Celaya abaten el rezago quirurgico en fin de semana mediante la intervencion de 17 pacientes con enfermedades de la vista

ISSSTESalud ISSSTEGuanajuato httpstcotmyHnwWKAY",ISSSTE_Salud,ISSSTE Salud,"Ciudad de Mexico, Mexico",es
2023-06-27 15:03:24+00:00,usuariosissste ISSSTEmx GobiernoMX pesima atencion de la persona para dar fichas en la CMFmarina nacional Grosera prepotente y no da la informacion que se solicita Hay michas quejas de esta persona y sigue en la misma area,Bandita_pedera,Furiosa Tangananica,,es
2023-06-27 15:03:00+00:00, LaNota Escandaloso incidente en el Hospital del ISSSTE en Tapachula Chiapas Gotera cae sobre paciente durante cirugia en la Clinica Roberto Nettel Flores httpstcoy1ILXtHomZ,raozrmz,RAUL RAMIREZ,Regio viviendo en #CDMX,es
2023-06-27 15:01:14+00:00,AnnieRosy erzs1 ansbertoarafat lumendoz ISSSTEmx drpedrozenteno ,Nelson787721582,Nelson,,qme
2023-06-27 15:00:03+00:00,"No descuidar tu alimentacion te ayudara a cuidar tu bienestar emocional
SaludMental
ViveSALUDableMENTE httpstcoGbqp4IYCId",ISSSTE_mx,ISSSTE,,es
2023-06-27 14:57:27+00:00,27 de junio I Dia Internacional de las Personas Sordociegas SabiasQue cerca del 90 de las personas sordociegas aun conservan un poco de vision o audicion Discapacidad httpstcog6KkWioEuv,IsssteSanLuisP,Issste San Luis Potosi,,es
2023-06-27 14:57:16+00:00,"Tu familia es tu eleccion  Acude a la CMF No 1 de Guadalajara 29 Y 30 DE JUNIO Direccion Centro Medico 953 Independencia Oriente para recibir orientacion sobre la VasectomiaSinBisturi Te esperamos
ISSSTESalud PlanificacionFamiliar DiaDelPadre  SoyHombreYMeCuido httpstcoWUg5zGoGqj",IsssteJalisco,Issste Jalisco,,es
2023-06-27 14:57:05+00:00,"Martes de Campana YaPrevIsssteYaLaHiciste Las y los trabajadores IsssteQueretaro se activan fisicamente para prevencion y autocuidado de su salud ISSSTEmx
Activador Fisico Luis Angel Cerecer
INFORMATE  httpstcoQ9yn2KGTWr Activate YaPrevIsssteYaLaHiciste",IsssteQueretaro,Issste Queretaro,"Queretaro, Queretaro Arteaga",es
2023-06-27 14:55:16+00:00,"27 de junio I Dia Internacional de las Personas Sordociegas
SabiasQue cerca del 90 de las personas sordociegas aun conservan un poco de vision o audicion
Discapacidad httpstcohhxzrwaDKv",Issste_Campeche,Issste Campeche,"Campeche, Mexico",es
2023-06-27 14:52:29+00:00,Escuchar chismes de senoras en el issste lo mas,ferchis_limones,ferchis,,es
2023-06-27 14:38:36+00:00,"Enterate  Inaugura ISSSTEMorelos Clinica de Heridas y Estomas dentro de la CMF Cuernavaca espacio de practicas avanzadas en enfermeria y con la capacidad de atencion de mas de 200 pacientes al mes para la prevencion y tratamiento
ISSSTESalud enfermeriaissste httpstcoTJsH9m0IeY",IsssteJalisco,Issste Jalisco,,es
2023-06-27 14:36:58+00:00,"conejodebelen Como paciente 1000 recomendado

Como trabajador es buen lugar salario adecuado pero desquitaras cada centavo si te gusta la vida imss SSA yo issste tendras muchos problemas para adaptarte parametros diferentes a los que habitualmente se evaluan como medico institucional",rui_stavo,L2M report,,es
2023-06-27 14:31:12+00:00,En el marco de la conmemoracion del Dia Internacional del Orgullo LGBTIQ la directora de Prestaciones Yezmin Lehmann inauguro la exposicion Ninos Princesa del artista Erik Rivera y Activismo Diversidad y Genero de Marsha Beya Cruz en la galeria Buenavista del Issste httpstcoP9IYowcgiV,IsssteJalisco,Issste Jalisco,,es
2023-06-27 14:28:21+00:00,La Direccion Medica del ISSSTE invita a la consulta y difusion de la  Guia Operativa 29 para la vigilancia de ResistenciaAntimicrobiana RAM en bacterias httpstcoUEv8o87Z6f ISSSTESalud RIVELISSSTE httpstcoQCh6IDDTAg,IsssteJalisco,Issste Jalisco,,es
2023-06-27 14:26:47+00:00,Video Operan en ISSSTE de Chiapas con gotera via reforma httpstcoF2rvVTTVlp,Luciorm,Lucio Ramirez Medina,,es
2023-06-27 14:25:06+00:00,27 de junio I Dia Internacional de las Personas Sordociegas SabiasQue cerca del 90 de las personas sordociegas aun conservan un poco de vision o audicion Discapacidad httpstcoXapXlGL5CZ,IsssteJalisco,Issste Jalisco,,es
2023-06-27 14:22:35+00:00,En redes circula un video donde se ve como una gotera moja a una paciente que es intervenida en un quirofano de la Clinica Hospital Roberto Nettel del ISSSTE en Chiapas Tapaleesta cayendo en el campo quirurgico se escucha httpstcoeNjOvP54Rs,sethrojasmolina,SETH ROJAS MOLINA,reynosa,es
2023-06-27 14:20:45+00:00,Y en el ISSSTEmx  que MAL DIRIGE EL SUMISO OBEDIENTE PedroZentenoSa1   HASTA CUATRO MESES,cel4751,clochard inquisidor,"New Haven, IN",es
2023-06-27 14:18:53+00:00,De manifiesto a programa de salud httpstco33TfFwKuFs canifarma SaludCCE CONCAMIN CIMUNCOL COFEPRIS TuIMSS ISSSTEmx,MarielenaVega,MarielenaVega,Mexico Df,es
2023-06-27 14:15:27+00:00,PortillogMayra Si sabes lo que esta pasando en el ISSSTE en unos dias mas lo comunica el presidente a lo mejor por eso tu madre sufre por la insulina antes no tenia problemas ,Debol88034400,Debol,,es
2023-06-27 14:10:12+00:00,"Vitalmex librando investigaciones y multas se lleva contrato con el ISSSTE
heraldodemexico
httpstcoFWsGu30sXL",MaribelRCoronel,Salud y Economia. Economia y Salud,"UT: 19.384652,-99.174113",es
2023-06-27 14:07:09+00:00,LillyTellez FiscaliaCDMX CiroGomezL Tambien el juzgado 24 civil debe dejar de darle oportunidad al ISSSTEmx de meter documentos dilatorios y pagarle a la empresa de mi familia porque nos deben desde 2003 pero nosotros no tenemos un politico que alce la voz por nuestro caso ya que somos gente comun Nos apoyas,OmarGarciaDgo,Omar Garcia Santana,"Durango, Mexico",es
2023-06-27 14:04:41+00:00,"El DIFDurango con Marisolrosso lleva a cabo su segunda campana de aparatos auxiliares auditivos GRATUITOS en esta ocasion todos los Duranguenses podran tener accesos a estos apoyos sin importar si cuentan con IMSS o ISSSTE Tienen hasta el 4 de julio para llevar su papeleria a DIF ESTATAL o al PBP de la Secretaria de Salud 
Los requisitos son
Receta o resumen medico 
INE 
CURP 
COMPROBANTE DE DOMICILIO 
FORMATOS ESPECIALES los cuales son elaborados por personal de trabajo social",hermannlinden,Hermann Linden,,es
2023-06-27 14:02:24+00:00,El DIFDurango  va a obsequiar aparatos auditivos para duranguenses que los necesiten no importa si tienen o no TuIMSS  o ISSSTEmx Acudir a oficinas con papeleria basicaLaVozdeDurango httpstco4nWy6MXC4f,jn_lavoz,Juan Nava Stenner,"Durango, Durango",es
2023-06-27 14:01:26+00:00,Y lo que son las cosas la dentista de la familia tiene su consultorio a una cuadra del ISSSTE de la Bravo y afirma que desde que gano el PRD casi 25 anos no adoquinan las calles del Perla ni las aledanas a gobierno ,HomerFSP,Homero Francisco,"La Paz, Baja California Sur",es
